"Atividade";"Template";"Variavel";"Tipo_Variavel";;;;;;
"Close";"Process PROC.2026.00001381 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00001381";"process_id";;;;;;
"Register request";"Request PROC.2026.00001416 was registered by Bruno Costa for project Student Portal, with an estimated amount of 1.634,75€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"1634,75 €";"amount";"PROC.2026.00001416";"process_id";"Student Portal";"project";"Bruno Costa";"requester"
"Validate request";"The request PROC.2026.00001416 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00001416";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00001416, in the amount of 1.634,75€, under budget record BUD.2026.00001482. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"1634,75 €";"amount";"BUD.2026.00001482";"budget_id";"PROC.2026.00001416";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00001416, in the amount of 1.634,75€, under the applicable reference DL 18/2008. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"1634,75 €";"amount";"DL 18/2008";"legal_ref";"PROC.2026.00001416";"process_id";;
"Commit expense";"Commitment COM.2026.00001414 was generated for process PROC.2026.00001416, in the amount of 1.634,75€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"1634,75 €";"amount";"COM.2026.00001414";"commitment_id";"PROC.2026.00001416";"process_id";;
"Issue order";"Order ORD.2026.00001423 was issued for process PROC.2026.00001416. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00001423";"order_id";"PROC.2026.00001416";"process_id";;;;
"Notify requester";"Requester Bruno Costa was notified about the outcome of process PROC.2026.00001416. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00001416";"process_id";"Bruno Costa";"requester";;;;
"Close";"Process PROC.2026.00001416 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00001416";"process_id";;;;;;
"Register request";"Request PROC.2026.00001561 was registered by Diogo Almeida for project Digital Campus, with an estimated amount of 2.857,75€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"2857,75 €";"amount";"PROC.2026.00001561";"process_id";"Digital Campus";"project";"Diogo Almeida";"requester"
"Validate request";"The request PROC.2026.00001561 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00001561";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00001561, in the amount of 2.857,75€, under budget record BUD.2026.00001539. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"2857,75 €";"amount";"BUD.2026.00001539";"budget_id";"PROC.2026.00001561";"process_id";;
